Customer_ID,First_Name,Surname,Street_Address,Age,Gender,Location,Tenure_Months,Activation_Date,Plan_Type,Contract_Duration_Months,Data_Usage_GB,Call_Minutes,SMS_Count,Payment_History_12mo,Outstanding_Balance,Monthly_Bill,Num_Complaints,Support_Tickets,Payment_Delays,Churn,Customer Phone Number
C0065,Peter,Williams,36 Second St,52,Female,Masvingo,26,9/2/2023,Prepaid,0,6.44,895.7,467,11,74.08,23.66,0,0,0,0,713018236
C0066,Robert,Brown,133 Samora Machel St,40,Male,Masvingo,53,19/7/2022,Prepaid,0,2.78,583.3,54,11,60.15,6.57,1,0,2,0,711096566
C0067,Michael,Smith,64 Second St,27,Female,Gweru,2,28/2/2022,Prepaid,0,5.97,467.0,194,8,67.16,18.76,0,0,2,1,714348972
C0068,David,Chirwa,7 Churchill Rd,68,Male,Masvingo,20,9/7/2021,Prepaid,0,6.83,340.4,7,8,38.92,20.7,0,0,0,0,714111639
C0069,Jane,Dube,198 Main Rd,36,Male,Masvingo,28,19/6/2024,Prepaid,0,2.39,940.4,423,11,48.78,20.91,1,1,1,0,717818658
C0070,Emily,Johnson,120 Samora Machel St,68,Male,Gweru,47,19/9/2023,Prepaid,0,4.62,82.7,314,9,98.99,7.71,0,1,2,0,712767859
C0071,David,Williams,22 Second St,45,Male,Gweru,60,23/1/2024,Prepaid,0,1.98,930.9,127,8,21.39,13.95,0,0,2,0,717317641
C0072,Peter,Jones,46 Main Rd,40,Female,Bulawayo,7,9/1/2023,Prepaid,0,0.62,826.7,31,12,41.79,21.59,0,0,0,0,713864726
C0073,Peter,Dube,168 Main Rd,21,Male,Mutare,44,8/9/2020,Prepaid,0,3.85,129.9,92,12,29.18,11.05,2,0,0,0,718468723
C0074,Michael,Williams,189 Second St,37,Male,Harare,8,6/11/2021,Postpaid,23,21.33,565.0,6,9,76.51,62.74,0,0,0,1,716875046
C0075,Michael,Williams,110 Main Rd,36,Female,Gweru,47,10/10/2021,Prepaid,0,9.96,866.5,257,10,76.4,10.46,0,0,1,0,718625577
C0076,John,Jones,46 High St,59,Female,Gweru,35,25/7/2020,Prepaid,0,4.52,571.8,340,9,29.24,14.27,2,0,0,0,714676736
C0077,Alice,Johnson,28 Churchill Rd,44,Female,Masvingo,14,15/9/2020,Postpaid,15,20.01,907.2,389,11,8.14,92.15,0,0,0,0,719239169
C0078,Grace,Chirwa,87 Kwame Nkrumah Ave,51,Female,Bulawayo,17,15/11/2020,Prepaid,0,5.85,943.0,219,10,1.14,14.1,1,1,3,0,715137038
C0079,Michael,Nyathi,35 Kwame Nkrumah Ave,21,Male,Masvingo,36,23/8/2022,Postpaid,14,8.99,422.4,239,11,42.75,68.91,1,0,2,0,715283789
C0080,John,Johnson,129 First Ave,55,Female,Gweru,50,25/12/2021,Prepaid,0,9.62,377.3,105,12,41.03,13.08,1,0,0,0,714927945
C0081,Michael,Moyo,157 Kwame Nkrumah Ave,24,Male,Gweru,40,19/10/2021,Postpaid,24,33.57,936.3,35,8,98.84,62.21,1,0,0,1,712327245
C0082,Robert,Nyathi,9 Samora Machel St,65,Female,Masvingo,4,20/10/2021,Prepaid,0,7.57,675.1,415,11,46.98,5.3,0,1,1,0,714198114
C0083,Grace,Moyo,9 Second St,24,Male,Gweru,2,19/8/2024,Postpaid,6,12.67,116.0,44,12,25.64,49.86,0,0,0,0,719941704
C0084,Michael,Johnson,22 Churchill Rd,67,Female,Mutare,6,17/6/2024,Prepaid,0,4.15,42.3,297,9,89.12,13.73,0,0,1,0,713149543
C0085,Peter,Moyo,191 Churchill Rd,69,Male,Harare,54,1/4/2024,Prepaid,0,4.28,564.6,308,11,49.11,17.68,1,1,0,1,718784353
C0086,Emily,Brown,194 Second St,43,Male,Harare,42,12/9/2024,Prepaid,0,8.24,930.2,365,12,59.92,14.0,4,0,1,0,716908690
C0087,David,Williams,186 Main Rd,43,Female,Harare,4,16/3/2023,Prepaid,0,0.11,844.2,8,8,9.57,11.76,0,0,1,0,719851663
C0088,John,Chirwa,70 Samora Machel St,36,Male,Mutare,54,8/6/2023,Postpaid,9,18.54,675.8,458,11,38.29,57.17,0,0,0,0,717465189
C0089,Michael,Sibanda,183 Churchill Rd,26,Male,Gweru,29,9/8/2022,Postpaid,8,49.16,139.1,86,12,94.42,46.96,0,0,1,1,714902907
C0090,David,Sibanda,141 Second St,37,Male,Masvingo,18,15/12/2024,Prepaid,0,4.8,254.2,369,11,58.95,23.49,1,2,0,0,714486113
C0091,Alice,Jones,147 First Ave,59,Male,Bulawayo,26,4/8/2022,Postpaid,15,22.21,875.5,330,8,34.45,66.52,0,0,1,0,712900268
C0092,Grace,Williams,161 Kwame Nkrumah Ave,62,Female,Gweru,44,10/6/2024,Prepaid,0,1.29,182.8,176,11,62.57,5.27,2,0,2,0,716156686
C0093,Alice,Jones,65 First Ave,67,Male,Mutare,34,12/5/2024,Prepaid,0,9.74,278.4,129,11,91.04,5.39,0,0,0,0,717100394
C0094,Robert,Smith,188 High St,33,Male,Mutare,10,3/3/2022,Prepaid,0,0.3,129.6,194,12,27.4,24.46,0,0,1,0,716691232
C0095,Emily,Sibanda,140 Main Rd,34,Female,Harare,36,24/10/2024,Postpaid,17,38.17,676.1,10,10,50.51,45.5,2,0,0,0,716000665
C0096,Jane,Dube,43 Samora Machel St,39,Female,Gweru,14,24/12/2023,Prepaid,0,7.71,944.0,305,11,95.87,21.11,0,1,0,0,711170461
C0097,Emily,Smith,17 Kwame Nkrumah Ave,30,Female,Harare,31,13/8/2023,Prepaid,0,2.51,269.0,418,10,17.24,6.17,0,1,0,0,717421423
C0098,Susan,Williams,68 Samora Machel St,29,Male,Bulawayo,48,10/5/2020,Postpaid,23,35.22,475.4,121,9,71.97,94.48,0,0,0,0,711281405
C0099,Jane,Moyo,29 Main Rd,27,Male,Harare,15,14/1/2025,Prepaid,0,1.02,634.3,398,11,61.45,22.49,2,0,1,0,717142896
C0100,Robert,Sibanda,183 Samora Machel St,18,Female,Bulawayo,8,7/9/2023,Prepaid,0,2.64,999.5,234,10,67.97,16.42,1,1,0,1,712127914
C0101,Peter,Sibanda,135 Samora Machel St,49,Male,Mutare,14,20/11/2024,Prepaid,0,7.9,104.8,330,9,35.12,5.18,2,2,2,1,718610834
C0102,Jane,Smith,44 Main Rd,47,Female,Harare,23,5/7/2021,Prepaid,0,8.66,498.6,30,12,31.39,10.16,1,1,0,0,717908513
C0103,Grace,Brown,133 Second St,25,Male,Harare,60,8/5/2020,Prepaid,0,6.12,385.1,347,11,68.42,13.14,0,1,1,0,717408940
C0104,Alice,Brown,188 First Ave,38,Female,Masvingo,57,28/4/2020,Prepaid,0,5.12,865.8,445,12,21.55,14.2,0,2,2,0,712444526
C0105,Robert,Jones,134 First Ave,39,Male,Mutare,40,27/9/2021,Prepaid,0,1.68,476.0,411,9,41.97,10.95,1,1,0,1,716540377
C0106,Robert,Smith,7 Second St,35,Female,Masvingo,21,27/4/2020,Prepaid,0,0.72,111.0,223,12,18.82,5.66,4,0,1,0,714390206
C0107,Robert,Johnson,174 Main Rd,19,Male,Bulawayo,16,13/11/2024,Prepaid,0,1.26,634.4,152,12,0.83,16.8,1,0,1,0,719904528
C0108,Robert,Sibanda,185 First Ave,65,Female,Bulawayo,45,31/1/2021,Postpaid,11,15.23,770.8,211,8,97.01,66.69,2,0,0,0,717189012
C0109,David,Sibanda,54 Second St,61,Male,Mutare,18,7/9/2023,Prepaid,0,3.48,2.9,91,9,43.17,10.66,2,2,0,1,713752317
C0110,Emily,Smith,46 Samora Machel St,26,Male,Bulawayo,47,31/8/2023,Prepaid,0,3.87,859.0,408,12,96.93,5.76,1,1,0,0,719431500
C0111,David,Smith,138 First Ave,20,Male,Mutare,53,4/4/2022,Prepaid,0,3.53,186.0,330,10,14.03,24.89,0,0,0,0,716990636
C0112,Jane,Brown,4 High St,43,Female,Bulawayo,24,3/10/2020,Prepaid,0,2.47,552.1,466,9,58.74,14.64,0,0,0,0,718883767
C0113,John,Chirwa,195 Main Rd,38,Male,Gweru,26,12/6/2021,Prepaid,0,5.15,415.8,347,8,20.1,20.12,0,1,0,0,715980523
C0114,Grace,Jones,153 High St,47,Male,Harare,25,21/9/2021,Postpaid,7,42.14,719.7,128,11,79.01,61.66,1,1,1,0,718729051
C0115,John,Nyathi,91 Second St,45,Male,Gweru,60,1/12/2024,Prepaid,0,2.87,371.2,442,12,78.37,5.86,2,1,1,0,712359810
C0116,John,Chirwa,61 Churchill Rd,53,Female,Mutare,60,6/8/2023,Prepaid,0,9.43,869.8,196,10,11.26,11.19,1,0,1,0,715955540
C0117,Grace,Nyathi,166 Samora Machel St,43,Male,Mutare,60,29/1/2021,Prepaid,0,8.75,730.5,457,8,91.21,11.4,1,1,1,1,717211084
C0118,Jane,Sibanda,160 Churchill Rd,51,Female,Gweru,45,16/6/2023,Prepaid,0,1.7,647.7,41,9,19.46,21.77,0,0,0,0,716186083
C0119,Susan,Smith,151 High St,25,Male,Harare,41,27/8/2024,Postpaid,15,40.38,796.2,365,12,61.3,75.8,1,2,0,0,716766345
C0120,Alice,Nyathi,111 First Ave,27,Female,Harare,29,16/9/2023,Prepaid,0,5.79,754.0,417,8,98.56,10.51,0,0,0,0,716644994
C0121,John,Jones,37 First Ave,65,Female,Masvingo,15,13/4/2020,Prepaid,0,5.71,35.9,227,8,88.24,24.35,0,0,1,0,719703203
C0122,John,Jones,3 High St,60,Male,Bulawayo,45,30/1/2021,Prepaid,0,3.97,394.7,193,10,95.66,11.43,0,0,2,1,716563981
C0123,David,Johnson,13 First Ave,67,Female,Masvingo,1,24/12/2023,Prepaid,0,5.06,930.8,17,11,34.26,24.96,1,1,1,0,712314570
C0124,Grace,Sibanda,162 High St,31,Female,Harare,25,22/1/2022,Postpaid,7,22.87,125.7,332,11,10.56,99.73,3,1,0,0,711573269
C0125,Alice,Johnson,88 High St,57,Male,Gweru,7,22/4/2020,Prepaid,0,5.44,737.1,242,11,18.83,8.82,1,0,0,1,712887205
C0126,Alice,Dube,193 First Ave,32,Female,Bulawayo,9,25/3/2021,Postpaid,14,33.26,974.6,388,9,50.05,51.89,3,0,2,1,714590997
C0127,Emily,Brown,76 High St,34,Female,Gweru,24,24/7/2023,Prepaid,0,6.78,52.2,275,8,79.32,14.72,0,0,0,1,715458692
C0128,Grace,Jones,8 Second St,70,Female,Masvingo,1,17/4/2021,Postpaid,15,28.96,682.2,449,9,15.02,76.49,1,0,1,0,719939083
C0129,Alice,Sibanda,83 Samora Machel St,35,Female,Mutare,44,7/9/2023,Prepaid,0,7.24,468.2,126,8,65.97,15.56,0,0,1,0,712346815
C0130,Michael,Dube,9 Second St,49,Male,Gweru,8,24/3/2024,Prepaid,0,1.5,579.2,74,10,32.36,24.39,1,1,0,0,714818184
C0131,Michael,Brown,156 Kwame Nkrumah Ave,55,Female,Masvingo,24,18/6/2021,Prepaid,0,2.2,85.3,61,10,34.12,19.48,0,0,1,0,716144290
C0132,Jane,Sibanda,78 Main Rd,40,Female,Masvingo,11,8/5/2023,Postpaid,7,41.84,43.0,477,9,66.19,44.84,0,0,2,0,715767751
C0133,Michael,Sibanda,124 Second St,63,Male,Masvingo,51,11/11/2020,Postpaid,13,19.51,666.9,479,9,46.7,37.36,0,0,0,0,711916102
C0134,Emily,Moyo,146 Churchill Rd,40,Male,Mutare,17,10/2/2023,Prepaid,0,0.33,823.3,287,10,81.2,18.77,1,0,2,0,711217668
C0135,Peter,Johnson,42 Samora Machel St,52,Female,Mutare,8,2/2/2022,Postpaid,22,11.92,782.0,185,12,15.59,41.09,2,1,1,0,712204367
C0136,Emily,Brown,41 Main Rd,56,Male,Mutare,35,5/9/2020,Prepaid,0,2.31,543.8,177,11,78.99,20.75,3,1,0,0,717390248
C0137,Peter,Jones,198 Samora Machel St,32,Male,Bulawayo,35,27/9/2023,Postpaid,22,48.08,99.9,165,11,6.42,51.77,2,2,1,0,717583067
C0138,Michael,Dube,161 Second St,70,Male,Mutare,33,8/1/2025,Prepaid,0,5.77,688.0,182,10,19.41,11.54,0,0,1,0,719981506
C0139,Grace,Johnson,89 Kwame Nkrumah Ave,41,Male,Mutare,59,18/9/2022,Postpaid,9,46.97,241.9,27,11,65.61,30.76,1,0,1,1,716501873
C0140,Alice,Sibanda,77 Churchill Rd,45,Male,Mutare,5,8/4/2021,Postpaid,23,30.88,911.1,329,12,85.49,79.07,1,1,0,0,719317952
C0141,Jane,Smith,54 First Ave,33,Male,Gweru,42,30/11/2024,Postpaid,17,26.57,838.3,469,12,25.27,37.93,2,0,1,0,714137407
C0142,Grace,Moyo,164 Main Rd,33,Male,Mutare,39,14/1/2024,Prepaid,0,3.21,709.4,246,8,32.72,20.46,0,0,0,1,716786889
C0143,Emily,Williams,97 Main Rd,57,Male,Bulawayo,58,4/11/2024,Prepaid,0,6.1,948.8,336,9,53.71,14.84,2,2,0,0,719209428
C0144,Peter,Smith,98 Churchill Rd,56,Male,Masvingo,41,11/1/2022,Postpaid,22,11.26,31.4,21,11,21.16,84.9,0,1,0,1,712469746
C0145,Robert,Chirwa,56 Second St,23,Female,Gweru,28,29/7/2021,Prepaid,0,8.99,736.2,426,12,81.12,16.68,0,1,1,0,719059171
C0146,Michael,Johnson,100 Main Rd,19,Female,Harare,7,30/9/2021,Postpaid,14,42.32,330.2,466,9,77.36,35.77,0,1,0,0,715001446
C0147,David,Jones,145 Kwame Nkrumah Ave,30,Female,Mutare,9,19/4/2020,Postpaid,24,19.29,906.1,464,9,14.53,83.6,1,0,0,0,712331713
C0148,Alice,Nyathi,10 Main Rd,61,Female,Masvingo,8,2/10/2023,Prepaid,0,9.53,266.7,471,8,46.38,6.4,1,0,0,0,712507601
C0149,Emily,Dube,44 Churchill Rd,64,Female,Masvingo,12,1/1/2022,Postpaid,19,42.13,724.9,419,9,77.48,63.51,1,0,0,1,718792574
C0150,Michael,Moyo,130 Main Rd,26,Male,Gweru,34,19/12/2021,Prepaid,0,6.7,877.6,95,9,33.73,8.45,0,0,0,0,712324098
C0151,Emily,Jones,142 Second St,51,Male,Harare,33,2/3/2023,Postpaid,19,10.48,41.7,121,10,63.31,82.66,2,1,0,0,711734630
C0152,David,Jones,169 Churchill Rd,34,Female,Bulawayo,48,26/4/2021,Postpaid,22,26.52,397.6,249,8,5.02,93.81,2,0,2,0,719190734
C0153,David,Williams,130 First Ave,44,Female,Masvingo,55,7/6/2024,Prepaid,0,5.11,762.3,493,8,60.87,16.08,0,2,0,0,718715474
C0154,Susan,Moyo,19 Churchill Rd,46,Male,Masvingo,23,4/6/2020,Prepaid,0,2.4,454.9,378,11,15.27,15.54,2,0,0,0,719822129
C0155,Grace,Johnson,80 Kwame Nkrumah Ave,54,Female,Masvingo,24,11/7/2022,Postpaid,7,8.6,267.3,307,9,83.06,83.48,2,2,0,0,712888596
C0156,Michael,Moyo,89 First Ave,60,Male,Masvingo,37,3/11/2021,Prepaid,0,7.79,219.8,419,11,35.54,5.1,2,0,0,0,715351732
C0157,Emily,Brown,1 Samora Machel St,39,Female,Gweru,35,1/8/2022,Prepaid,0,1.31,131.5,411,12,28.16,23.36,0,0,0,0,717079871
C0158,John,Jones,130 High St,68,Male,Harare,44,15/3/2022,Prepaid,0,5.98,857.1,333,9,84.09,8.95,3,1,0,0,712434956
C0159,Peter,Brown,27 Churchill Rd,41,Female,Masvingo,40,10/9/2020,Prepaid,0,9.37,575.4,441,12,5.01,24.68,2,0,0,0,718840387
C0160,Robert,Moyo,2 Churchill Rd,24,Male,Bulawayo,22,6/9/2022,Prepaid,0,8.77,76.4,419,10,39.66,19.73,0,0,0,0,711616026
C0161,Susan,Smith,179 High St,51,Female,Bulawayo,27,31/1/2025,Prepaid,0,2.85,382.6,325,9,37.0,20.49,0,1,0,1,714188212
C0162,Grace,Moyo,138 Second St,65,Female,Mutare,35,17/3/2022,Prepaid,0,8.53,367.7,136,11,28.48,18.12,0,0,0,0,718110401
C0163,Alice,Jones,19 Churchill Rd,29,Male,Masvingo,1,26/11/2023,Prepaid,0,0.1,181.7,276,11,91.18,14.43,1,1,0,0,719082300
C0164,Emily,Moyo,141 Samora Machel St,40,Male,Masvingo,35,5/9/2022,Prepaid,0,0.28,435.5,319,9,75.09,16.43,1,0,0,0,716491405
C0165,David,Chirwa,176 High St,32,Female,Masvingo,37,7/3/2022,Prepaid,0,6.07,332.1,331,11,6.39,5.93,0,1,0,0,717632269
C0166,Jane,Dube,114 Samora Machel St,50,Female,Masvingo,47,9/2/2023,Prepaid,0,3.71,341.8,60,9,71.47,17.48,2,1,0,0,714731763
C0167,Alice,Smith,56 Samora Machel St,30,Male,Masvingo,14,14/7/2020,Prepaid,0,3.93,739.0,249,8,52.73,17.52,0,0,0,0,715170587
C0168,Emily,Dube,200 Main Rd,40,Male,Bulawayo,3,30/1/2022,Prepaid,0,5.69,223.3,477,11,90.09,22.82,1,1,0,0,717799836
C0169,Grace,Moyo,184 Second St,55,Male,Harare,1,29/11/2024,Prepaid,0,2.0,641.9,94,9,31.29,15.11,0,1,0,0,718832983
C0170,Peter,Brown,178 Second St,49,Female,Harare,5,13/2/2023,Postpaid,13,14.53,570.6,295,9,57.42,35.4,1,0,0,0,713826257
